"index","Familie","Gattung","Art","D_3__Anaerolineales","D_3__Bacteroidales","D_3__Betaproteobacteriales","D_3__Clostridiales","D_3__Coriobacteriales","D_3__Desulfobacterales","D_3__Erysipelotrichales","D_3__Fibrobacterales","D_3__Lactobacillales","D_3__Methanobacteriales","D_3__Methanomicrobiales","D_3__Saccharimonadales","D_3__Selenomonadales","D_3__Spirochaetales","D_3__Synergistales","D_3__Verrucomicrobiales","D_3__Bacillales","D_3__Enterobacteriales","D_3__Micrococcales","D_3__Pseudomonadales","D_3__Sphingobacteriales","D_3__Bifidobacteriales","D_3__Fusobacteriales","D_3__Campylobacterales","D_3__Methanomassiliicoccales","D_3__Mycoplasmatales","D_3__Pedosphaerales","D_3__Pirellulales","D_3__Desulfovibrionales","D_3__Burkholderiales bacterium Beta_02","D_3__Elusimicrobiales","D_3__Endomicrobiales","D_3__Aeromonadales","D_3__Anaeroplasmatales","D_3__Cardiobacteriales","D_3__Flavobacteriales","D_3__Pasteurellales","D_3__Opitutales","D_3__Corynebacteriales","D_3__Bdellovibrionales","D_3__Caulobacterales","D_3__Chloroflexales","D_3__Chthoniobacterales","D_3__Cytophagales","D_3__Diplorickettsiales","D_3__Propionibacteriales","D_3__Rhizobiales","D_3__Rhodobacterales","D_3__Sphingomonadales","D_3__Xanthomonadales","D_3__Alteromonadales","D_3__Cellvibrionales","D_3__Chitinophagales","D_3__Paracaedibacterales","D_3__Methanosarcinales","D_3__Izimaplasmatales","D_3__Actinomycetales","D_3__Nostocales","D_3__Rickettsiales","D_3__Gastranaerophilales","D_3__Victivallales","D_3__Entomoplasmatales","D_3__Acholeplasmatales","D_3__Oligoflexales","D_3__Parabasalia","D_3__Acetobacterales","D_3__Leptospirales","D_3__Deferribacterales","D_3__Blastocatellales","D_3__Frankiales","D_3__Fungi","D_3__Oligosphaerales"
"BER0403ZEBR8","Equidae","Equus","Bergzebra",0,6588,49,7238,0,0,335,303,0,745,456,188,295,2209,310,652,0,0,0,0,0,0,0,196,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0503ZEBR1","Equidae","Equus","Bergzebra",0,2695,0,10005,0,0,117,65,205,241,237,0,62,4928,312,829,0,0,0,0,0,0,0,17,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0503ZEBR2","Equidae","Equus","Bergzebra",0,2782,0,12075,176,0,291,63,42,752,435,70,125,2550,29,1196,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0503ZEBR3","Equidae","Equus","Bergzebra",0,1720,0,6066,0,0,141,0,102,349,248,30,12,2084,70,1537,17,0,0,0,0,0,0,25,0,0,0,35,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0503ZEBR4","Equidae","Equus","Bergzebra",0,1501,25,5984,0,0,0,193,112,379,178,66,30,2137,92,879,0,0,0,0,0,0,0,240,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0503ZEBR6","Equidae","Equus","Bergzebra",0,840,0,1212,0,0,0,486,0,38,0,0,199,1027,0,74,0,0,0,0,0,0,0,30,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0503ZEBR7","Equidae","Equus","Bergzebra",0,3097,32,4595,90,0,184,386,19,1559,231,91,36,1236,51,691,0,0,0,0,0,0,0,18,75,261,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0503ZEBR8","Equidae","Equus","Bergzebra",0,4442,0,4283,0,0,37,2014,207,145,129,91,546,2459,0,68,0,0,0,0,0,0,0,112,18,25,18,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0603ZEBR1","Equidae","Equus","Bergzebra",0,599,0,671,0,0,0,281,0,29,54,0,40,561,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0603ZEBR2","Equidae","Equus","Bergzebra",0,1418,0,2613,0,0,0,213,482,140,93,45,14,719,46,467,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0603ZEBR3","Equidae","Equus","Bergzebra",0,1214,0,1113,0,0,0,335,0,26,0,0,166,1417,20,195,0,0,0,0,0,0,0,95,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0603ZEBR4","Equidae","Equus","Bergzebra",0,6948,0,6081,0,0,69,1469,12,499,530,20,345,3111,111,432,0,0,0,0,0,0,0,176,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0603ZEBR5","Equidae","Equus","Bergzebra",0,983,0,1132,0,0,0,247,0,0,51,0,73,881,11,173,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0603ZEBR6","Equidae","Equus","Bergzebra",0,2343,0,2770,0,0,30,1459,40,0,38,0,470,2317,0,75,0,0,0,0,0,0,0,63,22,0,0,0,13,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0603ZEBR7","Equidae","Equus","Bergzebra",0,2510,0,4376,0,0,33,680,70,179,101,0,52,1792,0,160,0,0,0,0,0,0,0,15,10,42,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0603ZEBR8","Equidae","Equus","Bergzebra",0,3311,32,3700,0,0,100,1789,189,67,88,0,506,2450,0,128,0,0,0,0,0,0,0,103,0,45,21,19,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0805GEPA1","Felidae","Acinonyx","Gepard",0,3898,133,2264,0,0,0,0,63,0,0,0,619,0,0,0,0,0,0,0,0,0,6742,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0805GEPA2","Felidae","Acinonyx","Gepard",0,0,0,41755,0,0,0,0,452,0,0,0,135,0,0,0,0,3285,0,0,0,0,7217,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0805LOEF1","Canidae","Otocyon","Loeffelhund",0,3012,249,1228,0,0,0,0,0,0,0,0,794,0,0,0,0,0,0,0,0,0,1848,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0805LOEF2","Canidae","Otocyon","Loeffelhund",0,1231,0,1674,0,0,70,0,0,0,0,0,1693,0,0,0,0,0,0,0,0,0,1037,65,0,0,0,0,0,0,0,0,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0805MAEH1","Canidae","Chrysocyon","Maehnenwolf",0,3558,660,1239,0,0,0,0,0,0,0,0,407,0,0,0,0,30,0,0,0,0,4037,0,0,0,0,0,0,0,0,0,1339,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0805MAEH2","Canidae","Chrysocyon","Maehnenwolf",0,1701,347,6190,0,0,166,0,540,307,0,0,352,0,0,0,0,1043,0,0,0,0,5332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0805NEBE1","Felidae","Panthera","Nebelparder",0,2060,25,6245,0,0,504,0,0,0,0,0,683,0,0,0,0,0,0,40,0,0,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0805PAND1","Ailuridae","Ailurus","Roter_Panda",0,0,547,0,0,0,89,0,658,0,0,0,0,0,0,0,1261,7544,0,1010,162,0,0,77,0,0,0,0,0,0,0,0,280,0,2877,1708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0805PAND2","Ailuridae","Ailurus","Roter_Panda",0,0,28,4249,0,0,1204,0,0,0,0,0,0,0,0,0,0,5541,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0805SEEL1","Felidae","Panthera","Schneeleopard",0,920,154,4898,191,0,210,0,86,0,0,0,731,0,0,0,212,138,0,92,0,0,5634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0805SEEL2","Felidae","Panthera","Schneeleopard",0,3367,67,6311,352,0,302,0,50,0,0,0,4154,0,0,0,0,1824,0,1510,0,0,4480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0805TIGA1","Felidae","Panthera","Tiger",0,2567,61,3066,0,0,0,0,0,0,0,0,761,0,0,0,0,66,0,0,0,0,2477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0805TIGA2","Felidae","Panthera","Tiger",0,4153,0,1158,0,0,0,0,0,0,0,0,1086,0,0,0,0,613,0,1110,0,0,2420,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0805TIGA3","Felidae","Panthera","Tiger",0,3586,123,7477,0,0,0,0,382,0,0,0,513,0,0,0,0,192,0,66,0,0,1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0805TIGA4","Felidae","Panthera","Tiger",0,1519,0,3656,0,0,0,0,0,0,0,0,562,0,0,0,0,357,0,0,0,0,2507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0805TIGA5","Felidae","Panthera","Tiger",0,2371,256,2080,0,0,0,0,0,0,0,0,689,0,0,0,0,435,0,0,0,0,2169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0805TIGA6","Felidae","Panthera","Tiger",0,1305,0,10374,0,0,380,0,179,0,0,0,181,0,0,0,0,1543,0,35,0,0,3435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0805WALD1","Canidae","Speothos","Waldhund",0,91,0,3718,0,0,0,0,0,0,0,0,0,0,0,0,1481,0,0,1562,0,0,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0805WALD2","Canidae","Speothos","Waldhund",0,504,93,5404,0,0,0,0,2811,0,0,0,298,0,0,0,0,1158,0,0,0,77,781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0805WALD3","Canidae","Speothos","Waldhund",0,5200,337,1867,0,0,0,0,18,0,0,0,1153,0,0,0,0,1884,0,0,0,0,4498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0905TIGA7","Felidae","Panthera","Tiger",0,2017,0,1356,0,0,0,0,0,0,0,0,812,0,0,0,0,41,0,667,0,0,1884,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0905TIGA8","Felidae","Panthera","Tiger",0,1931,65,550,0,0,0,0,0,0,0,0,2888,0,0,0,0,0,0,0,0,0,2931,0,0,0,0,0,0,0,0,0,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0905TIGA9","Felidae","Panthera","Tiger",0,5264,197,5621,0,0,0,0,84,0,0,0,443,0,0,0,0,158,0,0,0,0,1844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0905WALD10","Canidae","Speothos","Waldhund",0,0,199,23,0,0,0,0,1586,0,0,0,0,0,0,0,0,590,81,321,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0905WALD4","Canidae","Speothos","Waldhund",0,1811,181,2153,0,0,60,0,0,0,0,0,562,0,0,211,0,70,0,0,0,0,2817,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0905WALD5","Canidae","Speothos","Waldhund",0,669,0,5459,0,0,126,0,0,0,0,0,0,0,0,0,0,536,0,0,0,0,2417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0905WALD6","Canidae","Speothos","Waldhund",0,3169,193,2888,0,0,0,0,342,0,0,0,86,0,0,0,0,640,0,0,0,0,6817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0905WALD7","Canidae","Speothos","Waldhund",0,1153,164,132,0,0,0,0,0,0,0,0,247,0,0,190,0,60,0,0,0,0,1471,0,0,0,0,0,0,0,0,0,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0905WALD8","Canidae","Speothos","Waldhund",0,1071,94,445,0,0,0,0,0,0,0,0,569,0,0,0,0,0,0,0,0,0,3003,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0905WALD9","Canidae","Speothos","Waldhund",0,3716,39,4120,0,0,0,0,0,192,0,0,174,0,0,0,0,2799,0,0,0,0,6694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER1505GEPA2","Felidae","Acinonyx","Gepard",0,7454,1339,6869,141,0,30,0,257,0,0,0,1729,0,0,0,0,159,0,0,0,0,9920,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER1505LEOP1","Felidae","Panthera","Leopard",0,3660,222,1083,0,0,0,0,0,0,0,0,1797,0,0,0,0,34,0,137,0,0,2783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER1505LEOP2","Felidae","Panthera","Leopard",0,1376,436,4083,0,0,0,0,0,0,0,0,0,0,0,0,0,676,0,0,0,0,4482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER1505LEOP3","Felidae","Panthera","Leopard",0,1853,198,7357,71,0,0,0,0,0,0,0,1540,0,0,0,0,50,0,234,0,0,3493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER1505LEOP4","Felidae","Panthera","Leopard",0,756,104,10956,0,0,0,0,638,0,0,0,132,0,0,0,0,20,0,751,0,0,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER1505LOEF3","Canidae","Otocyon","Loeffelhund",0,3401,527,662,0,0,0,0,0,0,0,0,815,0,0,277,0,0,0,0,0,0,4417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER1505PAND3","Ailuridae","Ailurus","Roter_Panda",0,0,0,9439,0,0,1232,0,530,0,0,0,0,0,0,0,466,2055,0,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER1505PAND4","Ailuridae","Ailurus","Roter_Panda",0,0,0,2519,0,0,1290,0,0,0,0,0,0,0,0,0,91,2439,0,1258,15,0,0,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER1505SEEL3","Felidae","Panthera","Schneeleopard",0,3046,290,1005,0,0,37,0,23,0,0,0,1531,0,0,0,0,75,0,0,0,0,3869,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEZ0603ELEN1","Bovidae","Tragelaphus","Elenantilope",49,3547,0,4309,0,0,16,740,26,971,0,0,76,767,0,395,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEZ0603ELEN2","Bovidae","Tragelaphus","Elenantilope",0,1789,0,1837,0,0,0,472,0,694,0,0,67,622,0,74,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEZ0603ELEN3","Bovidae","Tragelaphus","Elenantilope",0,1151,0,1039,0,0,0,399,0,141,0,22,0,250,0,394,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEZ0603ELEN4","Bovidae","Tragelaphus","Elenantilope",0,613,0,468,0,0,46,69,0,207,0,0,24,171,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
