"index","Familie","Gattung","Art","digestion","Diet","Habitats","Habitat1","Habitat2","Region","D_4__Acidaminococcaceae","D_4__Akkermansiaceae","D_4__Anaerolineaceae","D_4__Bacteroidaceae","D_4__Christensenellaceae","D_4__Clostridiaceae","D_4__Clostridiales_Family_XIII","D_4__Defluviitaleaceae","D_4__Desulfobulbaceae","D_4__Eggerthellaceae","D_4__Erysipelotrichaceae","D_4__Eubacteriaceae","D_4__F082","D_4__Fibrobacteraceae","D_4__Lachnospiraceae","D_4__Lactobacillaceae","D_4__Methanobacteriaceae","D_4__Methanocorpusculaceae","D_4__Prevotellaceae","D_4__Rikenellaceae","D_4__Ruminococcaceae","D_4__Saccharimonadaceae","D_4__Spirochaetaceae","D_4__Synergistaceae","D_4__T34","D_4__Veillonellaceae","D_4__Carnobacteriaceae","D_4__Enterobacteriaceae","D_4__Enterococcaceae","D_4__Micrococcaceae","D_4__Moraxellaceae","D_4__Peptostreptococcaceae","D_4__Planococcaceae","D_4__Pseudomonadaceae","D_4__Sphingobacteriaceae","D_4__Staphylococcaceae","D_4__Streptococcaceae","D_4__Bifidobacteriaceae","D_4__Burkholderiaceae","D_4__Fusobacteriaceae","D_4__Peptococcaceae","D_4__Tannerellaceae","D_4__Campylobacteraceae","D_4__Methanomethylophilaceae","D_4__Mycoplasmataceae","D_4__Paludibacteraceae","D_4__Pedosphaeraceae","D_4__Pirellulaceae","D_4__Dysgonomonadaceae","D_4__Desulfovibrionaceae","D_4__Clostridiales_vadinBB60_group","D_4__Syntrophomonadaceae","D_4__Aerococcaceae","D_4__Bacillales_Family_XI","D_4__Helicobacteraceae","D_4__Weeksellaceae","D_4__Marinifilaceae","D_4__Coriobacteriaceae","D_4__Muribaculaceae","D_4__Bacillaceae","D_4__Burkholderiales_bacterium_Beta_02","D_4__Elusimicrobiaceae","D_4__Endomicrobiaceae","D_4__Aeromonadaceae","D_4__Flavobacteriaceae","D_4__Wohlfahrtiimonadaceae","D_4__Neisseriaceae","D_4__Pasteurellaceae","D_4__Clostridiales_Family_XI","D_4__Succinivibrionaceae","D_4__Paenibacillaceae","D_4__Hymenobacteraceae","D_4__Barnesiellaceae","D_4__Atopobiaceae","D_4__Puniceicoccaceae","D_4__Corynebacteriaceae","D_4__Leuconostocaceae","D_4__Sanguibacteraceae","D_4__Bacillales_Family_XII","D_4__Bacteriovoracaceae","D_4__Bdellovibrionaceae","D_4__Caulobacteraceae","D_4__Chthoniobacteraceae","D_4__Crocinitomicaceae","D_4__Devosiaceae","D_4__Dietziaceae","D_4__Diplorickettsiaceae","D_4__Herpetosiphonaceae","D_4__Intrasporangiaceae","D_4__Listeriaceae","D_4__Nocardiaceae","D_4__Nocardioidaceae","D_4__Rhizobiaceae","D_4__Rhodobacteraceae","D_4__Rubritaleaceae","D_4__Sphingomonadaceae","D_4__Spirosomaceae","D_4__Verrucomicrobiaceae","D_4__Xanthomonadaceae","D_4__Cardiobacteriaceae","D_4__Porphyromonadaceae","D_4__Alteromonadaceae","D_4__Cellvibrionaceae","D_4__Chitinophagaceae","D_4__Anaeroplasmataceae","D_4__Paracaedibacteraceae","D_4__PeH15","D_4__Methanosarcinaceae","D_4__Izimaplasmataceae","D_4__Arcobacteraceae","D_4__Shewanellaceae","D_4__Blastocatellaceae","D_4__Methyloligellaceae","D_4__Microscillaceae","D_4__Nitrososphaeraceae","D_4__Phormidiaceae","D_4__Xanthobacteraceae","D_4__Xiphinematobacteraceae","D_4__Brevibacteriaceae","D_4__Spiroplasmataceae","D_4__Cytophagaceae","D_4__Dermabacteraceae","D_4__Beijerinckiaceae","D_4__TM7_phylum_sp._oral_clone_FR058","D_4__Microbacteriaceae","D_4__Leptospiraceae","D_4__Marinilabiliaceae","D_4__Demequinaceae"
"BER0403ZEBR8","Equidae","Equus","Bergzebra","hindgut_colon","herbivor","Savanna_Grassland","Savanna","Grassland","Africa",0.770762084630698,3.32805880251136,0,11.484865499464,0.969833086621408,0.33178500331785,0.913684855290695,0.0765657699964269,0,0,1.70996886325353,0.775866469297126,1.29651370527283,1.54662855392782,16.5075800112296,0,3.8027665764892,2.32759940789138,5.00229697309989,15.1804399979582,17.1405237098668,0.959624317288551,11.2755857281405,1.58235924659282,0.250114848654995,0.735031391965698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0816701546628554,0,1.00045939461998,0.137818385993568,0,0.367515695982849,0,0,0.296054310652851,0,0.0765657699964269,0.0714613853299985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0503PAND","Ailuridae","Ailurus","Roter_Panda","simple","herbivor","Forest_Shrubland","Forest","Shrubland","Asia",0,0,0,0,0,71.687706129876,0,0,0,0,10.843853064938,0,0,0,0.290003411804845,0,0,0,0,0,0,0,0,0,0,0,1.47844876606391,0,0,1.65472534971,4.05436142385989,7.74479699761174,0.659615603320823,0,0,0,0.15353121801433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.750597065847833,0.392357557147731,0.216080973501649,0.0739224383031957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0503WALD","Canidae","Speothos","Waldhund","simple","carnivor","Forest_Savanna","Forest","Savanna","South_America",0.301631271160357,0,0,12.90243151739,0,0.757156048014774,0,0,0,0.363188673437981,1.69898430286242,0,0,0,39.9815327793167,0.461680517082179,0,0,0,0,2.47460757156048,0,0,0,0,0,0,0,0,0,0,13.4502923976608,0,0,0,0,0,0,0.393967374576793,15.5555555555556,10.4216682056017,0.166204986149584,0.54170514004309,0,0,0,0,0,0,0,0,0,0,0,0,0,0.529393659587565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0503ZEBR1","Equidae","Equus","Bergzebra","hindgut_colon","herbivor","Savanna_Grassland","Savanna","Grassland","Africa",0.0506559951370245,4.19938199685933,0,1.60072944632997,2.34030697533053,2.41122536852236,1.12962869155565,0.106377589787751,0,0,0.592675143103186,0.506559951370245,1.51461425459703,0.329263968390659,25.2013575806697,0.0658527936781318,1.22080948280229,1.20054708474748,3.59151005521503,6.86895294058052,18.9858669773568,0,24.9632744035257,1.58046704827516,0,0.263411174712527,0,0,0,0,0,0,0,0,0,0,0.97259510663087,0,0,0,0,0,0.0861151917329416,0,0,0.0759839927055367,0,0.141836786383669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0503ZEBR2","Equidae","Equus","Bergzebra","hindgut_colon","herbivor","Savanna_Grassland","Savanna","Grassland","Africa",0,5.80357142857143,0,4.27018633540373,7.38062888198758,4.6972049689441,2.16420807453416,0.198951863354037,0,0.208656832298137,1.41207298136646,0.985054347826087,2.12053571428571,0.30570652173913,20.9627329192547,0,3.64906832298137,2.11083074534161,2.14479813664596,4.66323757763975,21.7245729813665,0.339673913043478,12.3738354037267,0.140722049689441,0,0.606560559006211,0,0,0,0,0,0.242624223602484,0,0,0,0,0.203804347826087,0,0,0,0.237771739130435,0,0,0,0,0.0582298136645963,0,0.106754658385093,0.121312111801242,0,0,0,0,0,0,0,0,0.645380434782609,0.121312111801242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0503ZEBR3","Equidae","Equus","Bergzebra","hindgut_colon","herbivor","Savanna_Grassland","Savanna","Grassland","Africa",0.0963081861958267,12.3354735152488,0,3.3868378812199,2.07062600321027,1.82985553772071,4.15730337078652,0.128410914927769,0,0,1.13162118780096,3.26645264847512,0.617977528089888,0,15.2247191011236,0.818619582664527,2.80096308186196,1.99036918138042,2.25521669341894,7.3916532905297,21.7817014446228,0.240770465489567,16.7255216693419,0.561797752808989,0,0,0,0,0,0,0,0.224719101123596,0,0,0,0,0,0,0,0,0,0,0.200642054574639,0,0,0.152487961476726,0,0.280898876404494,0,0,0,0,0,0,0,0,0,0,0,0.136436597110754,0.192616372391653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0503ZEBR3-a","Equidae","Equus","Bergzebra","hindgut_colon","herbivor","Savanna_Grassland","Savanna","Grassland","Africa",0.689575910814849,2.63188139294334,0,9.76899206987703,1.04585679806919,1.50557407194575,0,0.114929318469141,0,0,0.264337432479025,0.126422250316056,2.80427537064705,6.06826801517067,18.7334789104701,0,5.26376278588668,2.65486725663717,4.4707504884496,18.3197333639812,9.32076772784737,0,14.1707849672451,1.01137800252845,0,0,0,0,0,0,0,0.160901045856798,0,0,0,0,0,0,0,0,0,0,0.390759682795081,0.218365705091369,0,0.264337432479025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0503ZEBR4","Equidae","Equus","Bergzebra","hindgut_colon","herbivor","Savanna_Grassland","Savanna","Grassland","Africa",0.253036437246964,7.41396761133603,0,0.843454790823212,3.29790823211876,1.18927125506073,0.649460188933873,0,0,0,0,1.1808367071525,1.14709851551957,1.6278677462888,20.5718623481781,0,3.19669365721997,1.50134952766532,4.58839406207827,6.08130904183536,23.4902159244265,0.55668016194332,18.024628879892,0.775978407557355,0.210863697705803,0,0,0,0,0,0,0,0,0,0,0,0.944669365721997,0,0,0,0.0927800269905533,0,2.02429149797571,0,0,0,0,0.337381916329285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0503ZEBR6","Equidae","Equus","Bergzebra","hindgut_colon","herbivor","Savanna_Grassland","Savanna","Grassland","Africa",5.08041868777125,1.88920091907072,0,1.22542762318101,0.765892264488129,0,0,1.27648710748021,0,0,0,0,3.548634158795,12.4074546847077,12.841460301251,0,0.970130201684963,0,10.773551187133,5.31018636711769,16.0582078121011,0,26.2190451876436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.765892264488129,0,0,0.587184069440899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280827163645647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0503ZEBR7","Equidae","Equus","Bergzebra","hindgut_colon","herbivor","Savanna_Grassland","Savanna","Grassland","Africa",0.282974375098255,5.43153592202484,0,3.45857569564534,2.34239899386889,1.25766388932558,1.66640465335639,0.117905989624273,0,0,1.44631347272441,0.793900330136771,3.66294607766075,3.03411413299796,14.6282031127181,0,12.2543625216161,1.8157522402138,7.54598333595347,9.48750196509983,15.3120578525389,0.715296337053922,9.71545354504009,0.400880364722528,0.251532777865116,0,0,0,0,0,0,0,0,0,0,0,0.149347586857412,0,0,0,0,0,0.141487187549128,0.589529948121365,2.05156421946235,0.188649583398837,0,0.55022795157994,0,0,0,0,0,0,0,0,0,0.707435937745638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0503ZEBR8","Equidae","Equus","Bergzebra","hindgut_colon","herbivor","Savanna_Grassland","Savanna","Grassland","Africa",3.20815377248786,0.465148094944935,0,5.17135234968192,0.704562555578357,0.383063137013476,0.129967850058144,5.27395854709625,0,0,0.253095286955332,0.218893221150558,3.6869826937547,13.7765921061632,13.1062316163896,0.253095286955332,0.991859908338464,0.882413297763185,9.90491825706273,10.3427046993638,9.41240850947397,0.622477597646898,16.8205759627882,0,0,0.526711813393529,0,0,0,0,0,0,0,0,0,0,1.16287023736234,0,0,0,0.0684041316095492,0,0.766126274026951,0.123127436897189,0.171010329023873,1.27915726109857,0.123127436897189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171010329023873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BER0603ZEBR1","Equidae","Equus","Bergzebra","hindgut_colon","herbivor","Savanna_Grassland","Savanna","Grassland","Africa",1.75901495162709,1.71503957783641,0,11.4775725593668,0,0,0,0,0,0,0,0,0,12.3570800351803,18.9094107299912,0,1.27528583992964,2.37467018469657,4.70536499560246,8.39929639401935,10.5980650835532,0,24.6701846965699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75901495162709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
